brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date
81575,for_sale,425000,4,4,0.66,714439,Orange,Texas,77632,4148,2020-03-27
388,for_sale,229900,4,2,0.22,609808,Orange,Texas,77632,1806,2012-09-17
81575,for_sale,460000,4,3,2,110331,Orange,Texas,77632,3789,
24643,for_sale,224900,4,2,0.37,821524,Orange,Texas,77630,2157,2021-04-22
48623,for_sale,270000,4,2,2.71,971860,Orange,Texas,77632,2000,
388,for_sale,539900,4,5,0.5,1020325,Orange,Texas,77632,3478,2012-07-06
53283,for_sale,349135,4,2,0.32,883881,Orange,Texas,77632,2036,
53283,for_sale,344165,4,3,0.17,856389,Orange,Texas,77632,2042,
53283,for_sale,366825,4,2,0.3,940488,Orange,Texas,77632,2314,
53573,for_sale,136000,2,1,6,541249,Kirbyville,Texas,75956,1019,
48625,for_sale,152500,3,2,2.14,498767,Kirbyville,Texas,75956,1260,
48623,for_sale,125000,2,2,0.17,1152404,Port Arthur,Texas,77642,1754,
81575,for_sale,135000,3,2,2.92,479157,Vidor,Texas,77662,1368,
388,for_sale,169900,3,1,0.25,1443794,Orange,Texas,77632,1456,
78979,for_sale,415000,4,4,0.86,1246597,Vidor,Texas,77662,3341,2012-08-13
53573,for_sale,260000,3,2,0.34,1305710,Groves,Texas,77619,2087,
14924,for_sale,130000,3,1,0.32,853161,Groves,Texas,77619,1144,
4990,for_sale,380000,4,4,0.5,1752785,Orange,Texas,77630,2662,2015-06-09
46319,for_sale,140000,,,0.95,1257420,Orange,Texas,77630,840,
48623,for_sale,234000,3,2,0.5,894895,Vidor,Texas,77662,1874,2019-05-06
78911,for_sale,354900,3,2,0.16,878109,Groves,Texas,77619,2258,
48622,for_sale,279900,3,2,0.4,1239317,Port Arthur,Texas,77642,2956,
24643,for_sale,79000,2,2,,451394,West Orange,Texas,77630,1226,
81575,for_sale,125000,3,2,0.2,333517,Bridge City,Texas,77611,988,2011-02-10
24643,for_sale,457000,5,4,0.55,704451,Bridge City,Texas,77611,3512,
23677,for_sale,42000,,1,0.16,1348547,Port Arthur,Texas,77642,1540,
48623,for_sale,110000,2,1,5,1306645,Kirbyville,Texas,75956,1000,
88188,for_sale,17000,,,0.82,243755,Deweyville,Texas,77632,,
81575,for_sale,289900,,,3.49,869922,Orange,Texas,77632,,
78911,for_sale,1200000,,,8.9,1239967,Orange,Texas,77630,,
97957,for_sale,15000,,,1.17,701807,Vidor,Texas,77662,,
81575,for_sale,299000,,,35,1230701,Bridge City,Texas,77611,,
22960,for_sale,90000,,,27.25,1893028,Newton,Texas,75966,,
1851,for_sale,21500,,,0.5,287083,Orange,Texas,77632,,
82839,for_sale,22000,,,0.52,1757395,Orange,Texas,77630,,
35608,for_sale,280224,,,6.37,754518,Vidor,Texas,77662,,2020-04-21
81575,for_sale,250000,,,2.34,1892660,Orange,Texas,77630,,
24643,for_sale,49900,,,,218056,Orange,Texas,77632,,
97366,for_sale,69900,,,0.58,1874890,Groves,Texas,77619,,
81575,for_sale,1700000,,,40,850050,Orange,Texas,77632,,
81575,for_sale,1500000,,,47.65,1592613,Orange,Texas,77630,,
24643,for_sale,3897700,,,239,1557818,Orange,Texas,77630,,
48624,for_sale,94000,3,2,,1345280,Port Arthur,Texas,77642,1492,
25887,for_sale,267990,3,2,,1073448,Bridge City,Texas,77611,1433,
25887,for_sale,290990,4,2,,1034843,Bridge City,Texas,77611,1750,
23859,for_sale,127500,,,10.25,262637,Orange,Texas,77632,,
81575,for_sale,139900,,,11.8,1681248,Orange,Texas,77632,,
23859,for_sale,139000,,,1.66,1135803,Groves,Texas,77619,,
19903,for_sale,20000,,,1.69,2000048,Orange,Texas,77632,,
81575,for_sale,200000,,,3.48,918076,Port Arthur,Texas,77642,,
81575,for_sale,149900,,,3.73,1894234,Orange,Texas,77632,,
34119,for_sale,12900,,,0.96,1436976,Orange,Texas,77632,,
73709,for_sale,19500,,,2.21,1919544,Buna,Texas,77612,,
22960,for_sale,49995,,,2.4,796871,Orange,Texas,77632,,2015-07-16
19903,for_sale,25000,,,2.19,2000047,Orange,Texas,77632,,
72278,for_sale,134800,,,4,443241,Vidor,Texas,77662,,
19903,for_sale,25000,,,1.37,1894237,Orange,Texas,77632,,
19903,for_sale,20000,,,1.11,1894241,Orange,Texas,77632,,
19903,for_sale,20000,,,1.11,1894245,Orange,Texas,77632,,
19903,for_sale,20000,,,1.11,1894243,Orange,Texas,77632,,
19903,for_sale,20000,,,1.11,1894242,Orange,Texas,77632,,
19903,for_sale,20000,,,1.11,1894246,Orange,Texas,77632,,
19903,for_sale,20000,,,1.11,1894244,Orange,Texas,77632,,
24645,for_sale,240000,,,40,1881665,Bon Wier,Texas,75928,,
34119,for_sale,62000,,,2.1,1881670,Orange,Texas,77632,,
19903,for_sale,30000,,,1.55,1894238,Orange,Texas,77632,,
19903,for_sale,30000,,,1.69,1894239,Orange,Texas,77632,,
19903,for_sale,33000,,,1.82,1894240,Orange,Texas,77632,,
81575,for_sale,79900,,,0.89,1861656,Bridge City,Texas,77611,,
24643,for_sale,20000,,,0.41,1286535,Bridge City,Texas,77611,,
35608,for_sale,25000,,,0.7,1410164,Vidor,Texas,77662,,
88188,for_sale,299900,,,1.48,1151529,Port Neches,Texas,77651,,
88760,for_sale,149900,4,2,0.83,1588175,Vidor,Texas,77662,1980,
48625,for_sale,159900,3,2,0.25,963858,Groves,Texas,77619,1607,
19188,for_sale,45000,,,3.34,1860281,Orange,Texas,77630,,
4990,for_sale,374900,4,3,0.25,1527526,Groves,Texas,77619,2314,
81575,for_sale,20000,,,,1877829,Orange,Texas,77632,,
81575,for_sale,315000,,,31.94,783187,Buna,Texas,77612,,
88188,for_sale,42000,,,1.05,845920,Orange,Texas,77632,,
81573,for_sale,21000,,,0.52,1877829,Orange,Texas,77632,,
