brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date
63101,for_sale,567500,4,3,16.4,550994,Muenster,Texas,76252,2000,
27030,for_sale,559213,4,4,0.14,1635336,Fort Worth,Texas,76123,2775,
23935,for_sale,69900,,,0.17,298787,Fort Worth,Texas,76104,,2019-01-10
108070,for_sale,599000,3,4,0.07,999962,Fort Worth,Texas,76114,2440,
22036,for_sale,110000,,,1,1504688,Godley,Texas,76044,,2019-02-21
46424,for_sale,488116,4,3,0.19,449642,Krum,Texas,76249,2639,
52739,for_sale,795000,,,10,1638697,Mansfield,Texas,76063,,
73353,for_sale,200000,3,1,0.5,931380,Paradise,Texas,76073,1042,2010-04-14
96412,for_sale,99750,,,3.47,1511919,Decatur,Texas,76234,,
96412,for_sale,99750,,,3.47,1519768,Decatur,Texas,76234,,
85323,for_sale,379000,2,2,10.68,824630,Fort Worth,Texas,76107,1263,2015-01-13
40452,for_sale,329800,3,2,0.15,1356518,Fort Worth,Texas,76132,2027,1997-06-16
69486,for_sale,130000,3,2,1.29,988514,Keene,Texas,76031,1456,2006-10-03
68248,for_sale,220000,4,2,0.28,1046380,Bedford,Texas,76022,2357,2008-08-05
26201,for_sale,269000,3,2,2,1424309,Joshua,Texas,76058,1323,2022-03-30
81994,for_sale,239500,3,2,1,1409132,Joshua,Texas,76058,1408,2012-11-29
48795,for_sale,310000,3,2,0.12,1302694,Fort Worth,Texas,76105,1537,
70677,for_sale,314900,3,2,0.13,1464670,Fort Worth,Texas,76179,1541,2010-09-21
45016,for_sale,413129,4,3,0.14,1532829,Fort Worth,Texas,76123,2772,
109058,for_sale,2430680,3,2,138.89,1755098,Godley,Texas,76044,2048,
63715,for_sale,428736,4,2,,1420962,Fort Worth,Texas,76126,1731,
26206,for_sale,328000,4,3,0.12,1304320,Fort Worth,Texas,76244,1860,2005-07-01
43598,for_sale,630879,4,3,0.14,1636219,Fort Worth,Texas,76123,2297,
63715,for_sale,461840,,3,,1473153,Fort Worth,Texas,76179,3050,
74153,for_sale,400000,4,2,0.44,1469520,Azle,Texas,76020,1873,
52823,for_sale,450000,6,4,0.12,1043688,Arlington,Texas,76017,2572,2020-01-09
71540,for_sale,695000,4,3,,233961,Fort Worth,Texas,76179,2832,
38634,for_sale,550000,,,12,1442503,Joshua,Texas,76058,,2005-05-11
70677,for_sale,484900,4,2,0.23,747299,Aledo,Texas,76008,2188,2020-11-30
46424,for_sale,484481,4,3,0.14,1028720,Aledo,Texas,76008,3057,
94066,for_sale,229000,4,3,0.43,950254,Nocona,Texas,76255,1959,2018-06-21
88760,for_sale,289900,4,3,2.21,927849,Azle,Texas,76020,2584,
71247,for_sale,338000,3,2,0.18,802016,Fort Worth,Texas,76107,1734,2020-03-16
106063,for_sale,289500,3,2,0.14,671296,Edgecliff Village,Texas,76134,1486,
99515,for_sale,182000,2,1,0.18,1454150,Fort Worth,Texas,76112,1284,2015-06-11
814,for_sale,145000,1,1,0.11,1586099,Fort Worth,Texas,76115,550,2021-10-15
32537,for_sale,315000,2,3,0.15,968214,Fort Worth,Texas,76123,2412,2013-07-16
3871,for_sale,175000,2,1,0.17,1323675,Cleburne,Texas,76033,1036,2022-03-29
97874,for_sale,249999,3,2,0.24,,Fort Worth,Texas,76132,1396,2010-07-13
33745,for_sale,185000,,,5.39,1327777,Granbury,Texas,76049,,
23664,for_sale,3200000,5,7,10.41,58785,Aledo,Texas,76008,5060,2014-09-02
33968,for_sale,230000,3,2,0.19,1379612,Burleson,Texas,76028,1252,2008-08-29
33968,for_sale,211700,2,1,0.23,1286919,Fort Worth,Texas,76135,1320,2017-02-22
22611,for_sale,178000,3,1,0.19,1290313,River Oaks,Texas,76114,1218,
81138,for_sale,445000,3,2,0.15,658328,Arlington,Texas,76012,3062,
10844,for_sale,385000,3,2,0.24,362020,Azle,Texas,76020,2245,2019-04-05
33968,for_sale,469500,3,2,0.2,1343044,Fort Worth,Texas,76123,2614,2018-01-10
52823,for_sale,337000,3,2,0.25,827795,Arlington,Texas,76012,1979,2019-11-22
19012,for_sale,299900,3,2,0.18,1317950,Arlington,Texas,76016,1421,2007-01-11
108418,for_sale,347900,4,3,0.16,850275,Fort Worth,Texas,76108,2258,2008-08-21
22611,for_sale,600000,2,3,7.79,1199889,Boyd,Texas,76023,1971,2018-10-15
60338,for_sale,795000,3,3,8.31,1201248,Cleburne,Texas,76031,3059,
99515,for_sale,1595000,4,4,0.68,497957,Pelican Bay,Texas,76020,3284,2017-09-01
71247,for_sale,447000,4,2,0.2,1195942,Arlington,Texas,76017,2275,2017-11-27
33745,for_sale,350000,3,2,0.28,1181484,Fort Worth,Texas,76116,1716,2019-10-02
65812,for_sale,1199999,4,5,0.37,1558925,Colleyville,Texas,76034,4937,2021-10-19
108070,for_sale,685000,3,3,0.14,1353100,Fort Worth,Texas,76114,2792,2018-03-07
53016,for_sale,469000,4,2,1.02,247809,Springtown,Texas,76082,2360,2021-06-11
10844,for_sale,899900,5,5,1.1,1722852,Benbrook,Texas,76126,4325,2007-01-31
57841,for_sale,378900,4,2,,592868,Newark,Texas,76071,1784,
26227,for_sale,625500,4,3,0.5,1124627,Granbury,Texas,76049,2842,2021-05-05
45016,for_sale,521900,5,4,0.14,1424083,Fort Worth,Texas,76126,3586,
15901,for_sale,549000,,,0.93,292711,Keller,Texas,76262,,
58319,for_sale,1925000,,,38,1181095,Burleson,Texas,76028,,
48832,for_sale,164599,2,1,0.1,997621,Muenster,Texas,76252,680,
33968,for_sale,199500,2,2,2.09,1603085,Sanger,Texas,76266,1064,2010-09-02
106420,for_sale,130000,2,1,0.61,928272,Cleburne,Texas,76031,842,2004-01-12
15901,for_sale,215000,3,2,0.28,1474975,Watauga,Texas,76148,1399,2016-12-19
33745,for_sale,268000,4,3,0.1,1765401,Fort Worth,Texas,76123,2340,2011-08-11
23664,for_sale,1450000,3,5,0.06,695157,Westlake,Texas,76262,3440,
43598,for_sale,597912,4,3,0.14,463695,Fort Worth,Texas,76052,2297,
27982,for_sale,1340000,4,4,1,358645,Northlake,Texas,76226,3850,2018-08-31
16173,for_sale,845000,3,3,8.16,281023,Boyd,Texas,76023,2244,
19012,for_sale,365000,4,3,0.18,1639640,Fort Worth,Texas,76108,3341,2004-07-29
39667,for_sale,229000,3,2,0.19,829243,Arlington,Texas,76016,1594,
23664,for_sale,525000,3,4,0.12,106812,Aledo,Texas,76008,2534,
71247,for_sale,196000,3,1,0.18,1076904,Fort Worth,Texas,76103,1131,1996-05-10
53016,for_sale,292500,3,2,0.15,753921,Hurst,Texas,76053,1688,2016-12-05
63715,for_sale,472970,3,3,,1423188,Fort Worth,Texas,76126,2442,
102816,for_sale,225000,3,2,0.27,1146705,Fort Worth,Texas,76116,1318,2004-03-24
63715,for_sale,492715,4,3,,1422298,Fort Worth,Texas,76126,2651,
33714,for_sale,381000,4,2,0.19,182543,Fort Worth,Texas,76036,2018,
71540,for_sale,555000,4,3,,819585,Aledo,Texas,76008,2352,
63715,for_sale,403096,4,3,,1473060,Fort Worth,Texas,76179,2260,
63715,for_sale,517830,5,3,,1424140,Fort Worth,Texas,76126,3060,
63715,for_sale,406593,4,3,,1475426,Fort Worth,Texas,76179,2059,
45016,for_sale,326245,4,2,0.16,1728277,Cleburne,Texas,76031,1824,
22031,for_sale,167706,,,0.77,1210319,Cleburne,Texas,76033,,
99828,for_sale,236500,2,1,1.21,630919,Cleburne,Texas,76033,1657,
106420,for_sale,145000,2,1,0.16,1766266,Cleburne,Texas,76033,1116,2015-09-17
53203,for_sale,499000,5,4,0.35,1655727,Fort Worth,Texas,76179,3342,
53203,for_sale,160000,3,1,0.36,1600574,Fort Worth,Texas,76179,1687,
80188,for_sale,479900,4,3,0.25,277807,Fort Worth,Texas,76111,1959,2019-11-12
48832,for_sale,299500,3,2,0.13,1625850,Fort Worth,Texas,76052,1489,2020-06-08
53016,for_sale,305000,3,2,0.16,1608277,Saginaw,Texas,76131,1554,2008-09-16
4265,for_sale,6500000,5,8,7.46,284568,Colleyville,Texas,76034,12223,
68617,for_sale,249000,3,2,0.19,931574,Fort Worth,Texas,76111,1553,1998-08-10
65812,for_sale,397500,4,3,0.45,1333309,Azle,Texas,76020,2256,
71247,for_sale,560000,3,3,0.33,330763,Benbrook,Texas,76132,2826,2018-05-07
13676,for_sale,965000,4,5,0.17,1056487,Fort Worth,Texas,76107,3347,2019-05-21
68926,for_sale,300000,4,3,0.13,232993,Saginaw,Texas,76131,2056,1999-12-29
15901,for_sale,749900,8,8,0.38,895780,Fort Worth,Texas,76116,4513,2008-06-02
55565,for_sale,474900,4,4,0.25,1128334,Fort Worth,Texas,76109,3254,2013-07-25
71247,for_sale,500000,4,3,0.14,931437,Fort Worth,Texas,76177,2415,2013-06-20
23664,for_sale,874900,4,5,0.28,1125758,Fort Worth,Texas,76107,4947,
1764,for_sale,495000,5,3,0.2,454789,Keller,Texas,76248,3277,2014-12-09
61144,for_sale,3950000,5,8,10,1658949,Argyle,Texas,76226,8679,
53203,for_sale,600000,4,4,0.18,1514532,Fort Worth,Texas,76116,3537,2015-07-29
108070,for_sale,375000,,,5.23,1796536,Aledo,Texas,76008,,2022-03-21
81664,for_sale,447292,2,3,,1754056,North Richland Hills,Texas,76180,1882,
53016,for_sale,798000,3,3,,1316332,Fort Worth,Texas,76102,3427,
23991,for_sale,120000,,,0.5,1124795,Granbury,Texas,76049,,
53203,for_sale,159900,,,1.31,1493053,Fort Worth,Texas,76112,,1995-05-18
70853,for_sale,199000,,,3.67,1359952,Keene,Texas,76031,,2010-08-31
51523,for_sale,320000,,,1,1809344,Argyle,Texas,76226,,
36949,for_sale,550000,,,7,1752723,Burleson,Texas,76028,,
33968,for_sale,625000,,,16.12,1491660,Joshua,Texas,76058,,
74635,for_sale,999000,,,10,1350892,Fort Worth,Texas,76108,,
84534,for_sale,500000,,,1.66,1698929,Argyle,Texas,76226,,
52739,for_sale,1512000,,,9.28,576478,Fort Worth,Texas,76104,,
71247,for_sale,283000,3,2,0.34,500604,Fort Worth,Texas,76103,1161,2017-04-13
94066,for_sale,230000,3,3,0.37,1329485,Nocona,Texas,76255,1588,2019-11-22
82016,for_sale,195000,3,2,0.14,351990,Fort Worth,Texas,76104,1220,
53016,for_sale,230000,3,1,0.12,1222516,Fort Worth,Texas,76107,1301,2004-02-23
15996,for_sale,147500,2,1,0.22,699293,Fort Worth,Texas,76111,1028,
53016,for_sale,210000,2,1,0.18,1051025,Burleson,Texas,76028,1491,
99235,for_sale,899999,3,3,14.38,983000,Springtown,Texas,76082,3799,
57841,for_sale,392900,4,3,,812265,Newark,Texas,76071,2153,
57841,for_sale,378900,4,2,,662212,Newark,Texas,76071,1784,
57841,for_sale,329900,3,2,,800547,Newark,Texas,76071,1379,
57841,for_sale,396900,4,3,,645858,Newark,Texas,76071,2153,
57841,for_sale,378900,4,2,,778249,Newark,Texas,76071,1784,
57841,for_sale,329900,3,2,,761600,Newark,Texas,76071,1379,
57841,for_sale,329900,3,2,,712725,Newark,Texas,76071,1379,
105054,for_sale,500000,6,6,0.12,495577,Fort Worth,Texas,76110,3009,
57841,for_sale,388900,4,2,,739469,Newark,Texas,76071,1784,
105054,for_sale,500000,6,6,0.12,608385,Fort Worth,Texas,76110,2855,
57841,for_sale,412900,5,3,,795611,Newark,Texas,76071,2700,
20851,for_sale,493500,4,2,1.05,325375,Azle,Texas,76020,2350,2021-06-22
20851,for_sale,494000,4,2,1.01,185804,Azle,Texas,76020,2353,2020-12-28
52258,for_sale,365000,,,4.55,1206056,Boyd,Texas,76023,,
57841,for_sale,424900,5,3,,753073,Newark,Texas,76071,2700,
25801,for_sale,1100000,,,4,347555,Cleburne,Texas,76033,,
31915,for_sale,399900,,,0.33,1764097,Fort Worth,Texas,76179,,
45016,for_sale,429244,3,3,0.05,1506745,Fort Worth,Texas,76179,2998,2021-07-02
1764,for_sale,145000,3,1,0.11,544107,Fort Worth,Texas,76102,886,2020-08-14
15369,for_sale,148999,3,2,0.03,418538,Pelican Bay,Texas,76020,1140,
15901,for_sale,85000,1,1,0.03,1410548,Fort Worth,Texas,76112,708,2014-03-28
53016,for_sale,125000,3,1,0.15,1036260,Fort Worth,Texas,76105,864,2005-05-03
101049,for_sale,199900,3,2,0.2,847933,Alvarado,Texas,76009,1792,2016-11-16
109987,for_sale,189900,3,2,0.19,333632,Burleson,Texas,76028,1269,2012-06-08
80188,for_sale,240000,3,2,0.1,1503699,Decordova,Texas,76049,1353,2016-07-06
96201,for_sale,39500,,,0.14,1322599,Fort Worth,Texas,76107,,
59525,for_sale,269000,3,1,0.16,1559885,Fort Worth,Texas,76120,1433,2004-06-05
52739,for_sale,850000,3,2,11.88,1613296,Weatherford,Texas,76085,1864,
71247,for_sale,398000,4,3,0.13,1349938,Fort Worth,Texas,76179,2814,2019-03-28
61881,for_sale,241500,3,2,0.19,571424,Arlington,Texas,76012,1323,
14550,for_sale,343270,3,3,1.2,21989,Joshua,Texas,76058,2086,2018-04-16
53016,for_sale,565000,5,4,0.25,611114,Arlington,Texas,76012,4062,2018-02-16
108957,for_sale,459900,5,4,0.16,1647807,Fort Worth,Texas,76179,3937,2017-05-02
23664,for_sale,575000,4,2,5.02,328027,Rhome,Texas,76078,2089,2021-04-13
41025,for_sale,315000,3,2,0.37,1217992,North Richland Hills,Texas,76180,2379,2019-05-21
71247,for_sale,483000,5,3,0.15,1766814,Fort Worth,Texas,76118,2686,2002-08-21
71247,for_sale,485000,4,3,0.18,1611618,North Richland Hills,Texas,76180,2738,2006-09-05
93012,for_sale,670000,5,4,0.71,1828046,Fort Worth,Texas,76179,3665,
79368,for_sale,392000,3,3,0.32,1108129,Arlington,Texas,76013,2071,2017-05-19
52410,for_sale,344900,3,2,0.2,877601,Fort Worth,Texas,76133,1857,
78949,for_sale,365000,5,4,0.17,1622386,Crowley,Texas,76036,2404,2019-09-24
78152,for_sale,295000,4,2,0.23,1611090,Fort Worth,Texas,76116,1420,2000-08-16
22611,for_sale,799900,6,3,2,496571,Alvord,Texas,76225,3139,2018-09-11
90017,for_sale,969900,4,4,2.77,179308,Ponder,Texas,76259,4829,
55565,for_sale,1148000,4,4,0.37,1743012,Keller,Texas,76248,4233,2001-06-25
10602,for_sale,329900,4,3,0.13,1000878,Denton,Texas,76210,1606,2004-08-13
14508,for_sale,735000,4,3,0.4,1477436,Fort Worth,Texas,76116,3262,2005-06-09
21457,for_sale,369990,3,2,0.14,950550,Denton,Texas,76210,1656,
33745,for_sale,490000,4,2,1.41,131238,Azle,Texas,76020,2251,2003-07-23
53157,for_sale,585000,4,3,0.17,1201992,Roanoke,Texas,76262,3511,2010-08-13
92060,for_sale,950000,5,6,0.22,129081,Roanoke,Texas,76262,4213,2017-10-31
86907,for_sale,549900,4,4,0.09,1457659,North Richland Hills,Texas,76180,2532,2017-05-08
10602,for_sale,689000,4,3,0.14,1348639,Flower Mound,Texas,76262,3405,2018-07-31
82016,for_sale,169900,4,2,0.19,351421,Cleburne,Texas,76033,1512,2009-10-22
96514,for_sale,159000,2,1,0.26,1602567,Gainesville,Texas,76240,944,
15901,for_sale,225000,3,2,0.19,1215155,Arlington,Texas,76001,1798,
94935,for_sale,250000,2,3,0.08,1487363,Azle,Texas,76020,1007,2016-12-08
71247,for_sale,323000,3,2,0.2,1653542,Cleburne,Texas,76031,1758,2020-09-30
53016,for_sale,240000,3,2,0.25,1622979,North Richland Hills,Texas,76180,1407,2016-04-19
22611,for_sale,299900,3,2,0.18,952934,Fort Worth,Texas,76114,1848,2008-07-23
4265,for_sale,600000,4,3,2.5,50500,Fort Worth,Texas,76131,2274,2002-02-01
75208,for_sale,319900,3,4,0.18,1480169,Fort Worth,Texas,76116,1518,2021-07-07
10601,for_sale,525000,3,2,1.09,1490702,Fort Worth,Texas,76135,2569,2016-11-04
15807,for_sale,368000,3,2,0.24,396746,Fort Worth,Texas,76112,2587,2017-03-10
19012,for_sale,395000,3,2,0.61,715900,Hurst,Texas,76053,2008,2005-06-01
,for_sale,469000,5,4,0.17,1305144,Fort Worth,Texas,76135,3707,2003-12-04
99515,for_sale,495000,5,3,0.16,1706715,Fort Worth,Texas,76052,3299,2019-02-13
73261,for_sale,875000,4,4,6.25,800651,Decatur,Texas,76234,3347,2017-10-16
71247,for_sale,286000,3,2,0.27,738601,Fort Worth,Texas,76131,1259,2016-10-17
102082,for_sale,399900,4,3,0.22,1624695,Richland Hills,Texas,76118,1989,2021-06-17
22611,for_sale,380000,4,3,0.2,1267309,Fort Worth,Texas,76137,2087,2010-11-11
55565,for_sale,645000,4,3,1.23,405242,Aledo,Texas,76008,2855,2014-10-31
36949,for_sale,359900,3,2,0.11,961668,Arlington,Texas,76017,1872,1998-07-16
13676,for_sale,299000,3,2,0.15,147504,Fort Worth,Texas,76104,1680,2019-08-30
35011,for_sale,375000,3,2,2.04,349322,Decatur,Texas,76234,1416,
53016,for_sale,298000,3,2,0.18,1778700,White Settlement,Texas,76108,1615,
71247,for_sale,306000,3,2,0.12,406573,Fort Worth,Texas,76140,1353,2015-09-01
51523,for_sale,1299000,4,4,1.52,1334512,Argyle,Texas,76226,5292,2019-03-01
10601,for_sale,699000,4,5,0.22,526660,Aledo,Texas,76008,3418,2019-05-28
16508,for_sale,924000,4,4,1,77971,Aledo,Texas,76008,4291,2011-06-16
15807,for_sale,485000,4,3,0.18,1796232,Denton,Texas,76226,2545,2015-01-02
108070,for_sale,1225000,4,4,0.82,630030,Aledo,Texas,76008,4430,2017-06-16
79368,for_sale,610000,4,3,1.65,34628,Azle,Texas,76020,2300,2018-10-12
46424,for_sale,367000,4,2,0.14,1832925,Fort Worth,Texas,76036,1911,
3874,for_sale,234900,4,3,0.5,803390,Burleson,Texas,76028,1980,2021-11-16
53016,for_sale,250000,2,2,8.03,1041056,Cleburne,Texas,76031,1763,
75208,for_sale,249900,3,2,0.18,968388,Forest Hill,Texas,76140,1547,2002-12-11
15807,for_sale,250000,3,2,0.26,1589507,Saginaw,Texas,76179,1509,
22036,for_sale,350000,3,3,0.27,921092,Boyd,Texas,76023,2000,
33714,for_sale,341000,3,2,0.12,648415,Keller,Texas,76248,1433,
22611,for_sale,269900,3,2,0.22,1167372,Hurst,Texas,76053,1542,
71247,for_sale,265000,3,2,0.21,589254,Fort Worth,Texas,76112,1628,2002-11-01
53016,for_sale,300000,3,3,0.17,1748334,White Settlement,Texas,76108,1756,
13676,for_sale,300000,3,2,0.21,611746,Fort Worth,Texas,76111,1650,2011-08-19
97748,for_sale,334850,4,3,0.15,29090,Fort Worth,Texas,76104,2058,
53203,for_sale,425000,4,3,0.11,1254539,Fort Worth,Texas,76244,2892,2008-05-27
48786,for_sale,275000,3,2,0.27,405782,River Oaks,Texas,76114,1597,2021-11-29
25014,for_sale,399000,2,3,0.13,1128451,Fort Worth,Texas,76107,1723,2007-06-27
86666,for_sale,449900,5,4,0.24,1707663,Burleson,Texas,76028,3103,2019-07-16
73261,for_sale,95000,,,2.35,179801,Decatur,Texas,76234,,
80188,for_sale,425000,4,2,1,1712693,Springtown,Texas,76082,2289,2017-07-10
99515,for_sale,399000,4,3,0.16,1301925,Fort Worth,Texas,76137,2234,2003-09-29
48808,for_sale,410000,4,3,0.15,1363282,Haltom City,Texas,76137,2580,2007-07-06
82444,for_sale,405000,3,2,0.37,335227,Hurst,Texas,76053,2402,
22611,for_sale,640000,4,3,1.55,1622267,Fort Worth,Texas,76108,2884,2017-12-12
109950,for_sale,427900,3,2,0.14,577480,Fort Worth,Texas,76131,2155,2016-07-11
93012,for_sale,670000,5,4,1,1149054,Aledo,Texas,76008,3059,2020-01-31
71247,for_sale,425000,4,3,0.14,1490314,Fort Worth,Texas,76179,2578,2020-08-19
71247,for_sale,483000,4,3,0.22,1493145,Fort Worth,Texas,76179,2978,2019-10-23
33745,for_sale,487000,4,2,0.5,119416,Godley,Texas,76044,2181,
71540,for_sale,535000,3,2,,704344,Aledo,Texas,76008,2186,
59908,for_sale,324900,4,2,0.13,1301090,Fort Worth,Texas,76179,1844,2013-05-23
99515,for_sale,479900,5,3,0.16,1429242,Fort Worth,Texas,76179,3195,
48795,for_sale,425000,5,3,0.13,286017,Fort Worth,Texas,76244,2730,2012-04-04
32537,for_sale,309900,3,3,0.14,51375,Fort Worth,Texas,76108,1911,2010-05-10
36297,for_sale,250000,3,2,0.13,1681331,Fort Worth,Texas,76120,1578,2009-09-18
20586,for_sale,225000,3,1,0.33,645636,Alvarado,Texas,76009,1579,2004-12-17
53894,for_sale,449900,2,3,0.15,1201560,Fort Worth,Texas,76109,2302,2019-06-27
53016,for_sale,390000,4,4,0.15,1432395,Fort Worth,Texas,76244,2553,2012-04-04
48794,for_sale,375000,3,2,5,557688,Justin,Texas,76247,1736,2005-01-13
109950,for_sale,415000,3,3,0.19,1662294,Arlington,Texas,76001,2599,2001-06-12
65300,for_sale,340000,3,2,0.15,346507,Fort Worth,Texas,76052,1848,2019-02-22
71247,for_sale,326000,3,2,0.16,1611675,Fort Worth,Texas,76137,1604,1995-05-15
38634,for_sale,479900,2,2,0.16,1821877,Denton,Texas,76207,2058,
48783,for_sale,419000,4,3,0.16,41139,Godley,Texas,76044,2827,2019-12-10
68926,for_sale,475000,5,4,0.3,1359148,Granbury,Texas,76049,2644,2017-12-28
58458,for_sale,879000,4,5,1.2,233345,Fort Worth,Texas,76126,3948,2018-08-27
75529,for_sale,495000,4,4,0.15,741131,Fort Worth,Texas,76177,2838,
52823,for_sale,425000,4,3,0.31,1039568,Pantego,Texas,76013,2468,2017-04-11
96202,for_sale,415000,3,3,0.25,1038888,Arlington,Texas,76013,2161,
99515,for_sale,425000,4,2,0.13,1792683,Northlake,Texas,76226,2040,2018-07-12
71366,for_sale,499000,2,2,2,1834857,Burleson,Texas,76028,2380,
53203,for_sale,800000,5,4,0.5,1130460,Fort Worth,Texas,76179,3900,2016-08-17
14508,for_sale,1650000,3,6,0.4,1215291,Fort Worth,Texas,76109,5200,2014-01-24
14508,for_sale,5250000,3,5,0.68,671155,Westover Hills,Texas,76107,7944,2015-07-28
53203,for_sale,530000,5,3,0.14,1812797,Fort Worth,Texas,76131,3060,2020-12-30
108070,for_sale,1250000,3,3,0.28,980976,Fort Worth,Texas,76109,2957,2009-01-30
108044,for_sale,1399500,4,3,2.66,1726112,Bartonville,Texas,76226,4557,2007-07-17
94763,for_sale,510000,3,2,0.15,319349,Aledo,Texas,76008,2239,2020-03-17
108475,for_sale,449000,4,3,2.13,1695002,Grandview,Texas,76050,1900,
108475,for_sale,449000,4,3,3.57,1704084,Grandview,Texas,76050,1900,2021-07-27
82134,for_sale,1450000,5,5,3.18,928764,Aledo,Texas,76008,4382,2018-06-05
45016,for_sale,340490,3,3,0.1,711413,Denton,Texas,76207,1733,
6883,for_sale,1299999,5,6,1,519779,Aledo,Texas,76008,4696,2022-01-20
45016,for_sale,338580,3,3,0.1,701655,Denton,Texas,76207,1802,
16340,for_sale,299995,4,2,0.11,1299206,Fort Worth,Texas,76105,1604,2020-06-25
57245,for_sale,180000,3,2,0.55,417306,Burleson,Texas,76028,1344,1999-09-01
69259,for_sale,149000,3,2,1,1341523,Joshua,Texas,76058,1500,2012-02-21
97748,for_sale,175000,2,1,0.16,1110093,Fort Worth,Texas,76133,1145,2000-05-23
97874,for_sale,559900,3,3,0.1,777027,Northlake,Texas,76247,2272,2020-04-28
53016,for_sale,329900,2,3,0.09,218664,Hurst,Texas,76053,2105,2000-04-04
23664,for_sale,1299000,3,4,0.19,1231143,Westworth Village,Texas,76114,3619,2007-04-09
51523,for_sale,454000,2,2,0.22,1285840,Gainesville,Texas,76240,1253,2018-09-27
10844,for_sale,170000,4,2,0.19,796990,Fort Worth,Texas,76106,1184,2005-06-03
73261,for_sale,269900,3,3,0.3,391536,Decatur,Texas,76234,2706,
22031,for_sale,265000,4,3,0.37,625599,Keene,Texas,76059,2112,2006-04-11
81984,for_sale,170000,1,1,0.04,1231449,Fort Worth,Texas,76109,744,2020-06-09
41025,for_sale,365000,3,2,0.1,1719575,Fort Worth,Texas,76179,2364,2019-05-06
11310,for_sale,299999,3,3,0.11,108760,Fort Worth,Texas,76052,1653,2008-06-03
53203,for_sale,240000,4,2,0.19,1419798,Haltom City,Texas,76117,1480,2006-06-26
53203,for_sale,424900,4,3,0.14,62155,Fort Worth,Texas,76177,2512,2014-07-23
7415,for_sale,549000,4,3,0.15,1791352,Fort Worth,Texas,76118,2355,
103251,for_sale,450000,2,2,0.07,1604502,Keller,Texas,76248,1775,
65621,for_sale,650000,4,3,1.16,1753725,North Richland Hills,Texas,76182,2500,
48790,for_sale,289000,2,1,0.23,669323,Fort Worth,Texas,76114,1434,2007-09-25
81984,for_sale,195000,3,1,0.17,1300710,Fort Worth,Texas,76115,1268,1994-08-19
108070,for_sale,370000,3,2,0.19,1476851,Fort Worth,Texas,76123,2038,2020-06-24
71247,for_sale,289000,3,2,0.16,1513084,North Richland Hills,Texas,76182,1219,
814,for_sale,248000,3,1,0.22,216997,White Settlement,Texas,76108,1295,2021-11-22
54270,for_sale,285000,5,3,1,1189038,Burleson,Texas,76028,2001,
80188,for_sale,639500,5,5,1,1687451,Grandview,Texas,76050,3912,
6634,for_sale,287000,3,2,0.16,829745,Fort Worth,Texas,76105,1501,
51,for_sale,1100000,5,4,0.52,94047,Southlake,Texas,76092,4257,2004-12-06
13732,for_sale,374900,4,4,0.16,764207,Sanger,Texas,76266,2173,2015-06-25
71247,for_sale,297000,3,2,0.21,44200,Saginaw,Texas,76179,1470,2013-11-06
20852,for_sale,289900,4,2,0.24,1472671,Watauga,Texas,76148,1433,1994-04-08
31127,for_sale,325000,3,2,0.27,1298670,North Richland Hills,Texas,76180,1967,2022-04-05
58116,for_sale,1850000,6,6,0.4,596917,Trophy Club,Texas,76262,7037,
9615,for_sale,525000,4,3,5.21,857667,Cleburne,Texas,76031,3339,2015-12-01
94934,for_sale,214900,3,2,0.1,1413143,Benbrook,Texas,76109,1155,2017-08-22
63715,ready_to_build,,4,,,802101,Fort Worth,Texas,76179,3060,
95157,for_sale,129900,3,1,0.14,54058,Fort Worth,Texas,76104,984,2022-03-02
53203,for_sale,180000,3,1,0.18,1710123,White Settlement,Texas,76108,1100,
71247,for_sale,218000,3,2,0.16,1323027,Fort Worth,Texas,76119,1260,2013-05-13
71247,for_sale,381000,3,2,0.2,1290766,Fort Worth,Texas,76244,1827,2009-09-08
98347,for_sale,2599000,4,6,0.69,22333,Fort Worth,Texas,76111,5411,2018-02-07
57245,for_sale,1278420,3,2,28.17,1504991,Joshua,Texas,76058,2056,
27976,for_sale,285000,3,2,0.16,644029,Fort Worth,Texas,76134,1634,2008-02-01
71247,for_sale,404000,4,3,0.12,169244,Fort Worth,Texas,76244,2230,2015-06-10
53016,for_sale,2345000,3,4,6.24,1654196,Justin,Texas,76247,4210,
26202,for_sale,379000,4,2,0.13,1575490,Fort Worth,Texas,76137,2099,2013-11-12
29371,for_sale,235000,3,2,0.17,1146418,Lake Worth,Texas,76135,1094,2019-10-23
48582,for_sale,425000,6,4,0.21,1690521,Saginaw,Texas,76179,2358,
38599,for_sale,90000,,,1.05,1401393,Cleburne,Texas,76031,,
46933,ready_to_build,529990,3,,,1157091,Argyle,Texas,76226,2390,
60138,for_sale,750000,3,3,1.61,1644116,Fort Worth,Texas,76108,2541,
60010,for_sale,400134,3,2,,1755095,Fort Worth,Texas,76131,1808,
100720,for_sale,349900,3,2,0.11,1091812,Fort Worth,Texas,76244,1608,2005-07-06
33968,for_sale,535000,4,2,2.01,265135,Decatur,Texas,76234,2524,
100590,for_sale,149500,,,0.22,1776310,Flower Mound,Texas,75022,,
99235,for_sale,425000,4,2,2,1677489,Burleson,Texas,76028,2128,
